 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  3.49217150e-05  6.22540269e+00 
 1.05776756e+00  3.39547470e-05  6.04401503e+00 
 1.11887221e+00  3.30145541e-05  5.86690437e+00 
 1.18350673e+00  3.21003951e-05  5.69389634e+00 
 1.25187503e+00  3.12115489e-05  5.52481837e+00 
 1.32419279e+00  3.03473149e-05  5.35949977e+00 
 1.40068818e+00  2.95070113e-05  5.19777185e+00 
 1.48160252e+00  2.86899757e-05  5.03946811e+00 
 1.56719108e+00  2.78955637e-05  4.88442450e+00 
 1.65772389e+00  2.71231489e-05  4.73247988e+00 
 1.75348655e+00  2.63721222e-05  4.58347647e+00 
 1.85478119e+00  2.56418914e-05  4.43726054e+00 
 1.96192737e+00  2.49318806e-05  4.29368318e+00 
 2.07526313e+00  2.42415300e-05  4.15260127e+00 
 2.19514602e+00  2.35702952e-05  4.01387860e+00 
 2.32195425e+00  2.29176469e-05  3.87738711e+00 
 2.45608788e+00  2.22830704e-05  3.74300836e+00 
 2.59797009e+00  2.16660654e-05  3.61063509e+00 
 2.74804848e+00  2.10661452e-05  3.48017289e+00 
 2.90679654e+00  2.04828369e-05  3.35154194e+00 
 3.07471508e+00  1.99156804e-05  3.22467884e+00 
 3.25233387e+00  1.93642285e-05  3.09953825e+00 
 3.44021326e+00  1.88280464e-05  2.97609447e+00 
 3.63894599e+00  1.83067113e-05  2.85434279e+00 
 3.84915902e+00  1.77998120e-05  2.73430043e+00 
 4.07151555e+00  1.73069488e-05  2.61600706e+00 
 4.30671707e+00  1.68277332e-05  2.49952477e+00 
 4.55550561e+00  1.63617871e-05  2.38493730e+00 
 4.81866605e+00  1.59087432e-05  2.27234870e+00 
 5.09702863e+00  1.54682443e-05  2.16188109e+00 
 5.39147154e+00  1.50399429e-05  2.05367182e+00 
 5.70292370e+00  1.46235013e-05  1.94786989e+00 
 6.03236769e+00  1.42185912e-05  1.84463184e+00 
 6.38084285e+00  1.38248932e-05  1.74411725e+00 
 6.74944857e+00  1.34420969e-05  1.64648404e+00 
 7.13934775e+00  1.30699005e-05  1.55188376e+00 
 7.55177045e+00  1.27080104e-05  1.46045709e+00 
 7.98801781e+00  1.23561412e-05  1.37232980e+00 
 8.44946611e+00  1.20140156e-05  1.28760930e+00 
 8.93757115e+00  1.16813637e-05  1.20638185e+00 
 9.45387283e+00  1.13579232e-05  1.12871071e+00 
 1.00000000e+01  1.10434390e-05  1.05463496e+00 
 1.05776756e+01  1.07376632e-05  9.84169290e-01 
 1.11887221e+01  1.04403547e-05  9.17304452e-01 
 1.18350673e+01  1.01512789e-05  8.54008397e-01 
 1.25187503e+01  9.87020800e-06  7.94227941e-01 
 1.32419279e+01  9.59692030e-06  7.37890846e-01 
 1.40068818e+01  9.33120030e-06  6.84908166e-01 
 1.48160252e+01  9.07283846e-06  6.35176754e-01 
 1.56719108e+01  8.82163107e-06  5.88581805e-01 
 1.65772389e+01  8.57738001e-06  5.44999356e-01 
 1.75348655e+01  8.33989270e-06  5.04298660e-01 
 1.85478119e+01  8.10898185e-06  4.66344388e-01 
 1.96192737e+01  7.88446539e-06  4.30998619e-01 
 2.07526313e+01  7.66616626e-06  3.98122601e-01 
 2.19514602e+01  7.45391233e-06  3.67578266e-01 
 2.32195425e+01  7.24753622e-06  3.39229521e-01 
 2.45608788e+01  7.04687520e-06  3.12943307e-01 
 2.59797009e+01  6.85177102e-06  2.88590445e-01 
 2.74804848e+01  6.66206985e-06  2.66046302e-01 
 2.90679654e+01  6.47762209e-06  2.45191282e-01 
 3.07471508e+01  6.29828229e-06  2.25911168e-01 
 3.25233387e+01  6.12390904e-06  2.08097340e-01 
 3.44021326e+01  5.95436483e-06  1.91646889e-01 
 3.63894599e+01  5.78951596e-06  1.76462633e-01 
 3.84915902e+01  5.62923245e-06  1.62453073e-01 
 4.07151555e+01  5.47338790e-06  1.49532282e-01 
 4.30671707e+01  5.32185942e-06  1.37619751e-01 
 4.55550561e+01  5.17452752e-06  1.26640207e-01 
 4.81866605e+01  5.03127603e-06  1.16523396e-01 
 5.09702863e+01  4.89199197e-06  1.07203861e-01 
 5.39147154e+01  4.75656552e-06  9.86206985e-02 
 5.70292370e+01  4.62488988e-06  9.07173177e-02 
 6.03236769e+01  4.49686123e-06  8.34411954e-02 
 6.38084285e+01  4.37237860e-06  7.67436342e-02 
 6.74944857e+01  4.25134383e-06  7.05795248e-02 
 7.13934775e+01  4.13366148e-06  6.49071164e-02 
 7.55177045e+01  4.01923875e-06  5.96877950e-02 
 7.98801781e+01  3.90798541e-06  5.48858709e-02 
 8.44946611e+01  3.79981374e-06  5.04683767e-02 
 8.93757115e+01  3.69463843e-06  4.64048755e-02 
 9.45387283e+01  3.59237655e-06  4.26672797e-02 
