 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  3.40941196e-05  1.30385847e+01 
 1.05776756e+00  3.31500690e-05  1.25984293e+01 
 1.11887221e+00  3.22321590e-05  1.21651920e+01 
 1.18350673e+00  3.13396659e-05  1.17385140e+01 
 1.25187503e+00  3.04718859e-05  1.13180755e+01 
 1.32419279e+00  2.96281346e-05  1.09036013e+01 
 1.40068818e+00  2.88077468e-05  1.04948665e+01 
 1.48160252e+00  2.80100754e-05  1.00917018e+01 
 1.56719108e+00  2.72344916e-05  9.69399910e+00 
 1.65772389e+00  2.64803836e-05  9.30171578e+00 
 1.75348655e+00  2.57471569e-05  8.91487845e+00 
 1.85478119e+00  2.50342333e-05  8.53358523e+00 
 1.96192737e+00  2.43410506e-05  8.15800628e+00 
 2.07526313e+00  2.36670621e-05  7.78838244e+00 
 2.19514602e+00  2.30117364e-05  7.42502161e+00 
 2.32195425e+00  2.23745567e-05  7.06829278e+00 
 2.45608788e+00  2.17550206e-05  6.71861765e+00 
 2.59797009e+00  2.11526396e-05  6.37646011e+00 
 2.74804848e+00  2.05669386e-05  6.04231368e+00 
 2.90679654e+00  1.99974557e-05  5.71668755e+00 
 3.07471508e+00  1.94437420e-05  5.40009166e+00 
 3.25233387e+00  1.89053607e-05  5.09302157e+00 
 3.44021326e+00  1.83818873e-05  4.79594369e+00 
 3.63894599e+00  1.78729091e-05  4.50928169e+00 
 3.84915902e+00  1.73780246e-05  4.23340454e+00 
 4.07151555e+00  1.68968437e-05  3.96861680e+00 
 4.30671707e+00  1.64289869e-05  3.71515134e+00 
 4.55550561e+00  1.59740853e-05  3.47316480e+00 
 4.81866605e+00  1.55317801e-05  3.24273562e+00 
 5.09702863e+00  1.51017226e-05  3.02386470e+00 
 5.39147154e+00  1.46835736e-05  2.81647817e+00 
 5.70292370e+00  1.42770034e-05  2.62043213e+00 
 6.03236769e+00  1.38816915e-05  2.43551881e+00 
 6.38084285e+00  1.34973260e-05  2.26147382e+00 
 6.74944857e+00  1.31236039e-05  2.09798397e+00 
 7.13934775e+00  1.27602305e-05  1.94469549e+00 
 7.55177045e+00  1.24069193e-05  1.80122203e+00 
 7.98801781e+00  1.20633916e-05  1.66715253e+00 
 8.44946611e+00  1.17293765e-05  1.54205850e+00 
 8.93757115e+00  1.14046107e-05  1.42550064e+00 
 9.45387283e+00  1.10888381e-05  1.31703482e+00 
 1.00000000e+01  1.07818096e-05  1.21621725e+00 
 1.05776756e+01  1.04832832e-05  1.12260888e+00 
 1.11887221e+01  1.01930235e-05  1.03577911e+00 
 1.18350673e+01  9.91080146e-06  9.55308748e-01 
 1.25187503e+01  9.63639469e-06  8.80792389e-01 
 1.32419279e+01  9.36958674e-06  8.11840187e-01 
 1.40068818e+01  9.11016723e-06  7.48079147e-01 
 1.48160252e+01  8.85793160e-06  6.89153970e-01 
 1.56719108e+01  8.61268093e-06  6.34727544e-01 
 1.65772389e+01  8.37422184e-06  5.84481121e-01 
 1.75348655e+01  8.14236629e-06  5.38114240e-01 
 1.85478119e+01  7.91693144e-06  4.95344454e-01 
 1.96192737e+01  7.69773953e-06  4.55906893e-01 
 2.07526313e+01  7.48461772e-06  4.19553706e-01 
 2.19514602e+01  7.27739794e-06  3.86053413e-01 
 2.32195425e+01  7.07591679e-06  3.55190193e-01 
