 v-sweep         Vout           
-4.50000000e-04  2.94944541e-01 
-4.49992000e-04  2.95081131e-01 
-4.49984000e-04  2.95204840e-01 
-4.49976000e-04  2.95328813e-01 
-4.49968000e-04  2.95453084e-01 
-4.49960000e-04  2.95577655e-01 
-4.49952000e-04  2.95702526e-01 
-4.49944000e-04  2.95827701e-01 
-4.49936000e-04  2.95953181e-01 
-4.49928000e-04  2.96078968e-01 
-4.49920000e-04  2.96205063e-01 
-4.49912000e-04  2.96331468e-01 
-4.49904000e-04  2.96458186e-01 
-4.49896000e-04  2.96585218e-01 
-4.49888000e-04  2.96712567e-01 
-4.49880000e-04  2.96840233e-01 
-4.49872000e-04  2.96968219e-01 
-4.49864000e-04  2.97096527e-01 
-4.49856000e-04  2.97225159e-01 
-4.49848000e-04  2.97354117e-01 
-4.49840000e-04  2.97483403e-01 
-4.49832000e-04  2.97613019e-01 
-4.49824000e-04  2.97742967e-01 
-4.49816000e-04  2.97873249e-01 
-4.49808000e-04  2.98003867e-01 
-4.49800000e-04  2.98134824e-01 
-4.49792000e-04  2.98266121e-01 
-4.49784000e-04  2.98397761e-01 
-4.49776000e-04  2.98529745e-01 
-4.49768000e-04  2.98662077e-01 
-4.49760000e-04  2.98794757e-01 
-4.49752000e-04  2.98927790e-01 
-4.49744000e-04  2.99061176e-01 
-4.49736000e-04  2.99194917e-01 
-4.49728000e-04  2.99329018e-01 
-4.49720000e-04  2.99463479e-01 
-4.49712000e-04  2.99598303e-01 
-4.49704000e-04  2.99733492e-01 
-4.49696000e-04  2.99869049e-01 
-4.49688000e-04  3.00004977e-01 
-4.49680000e-04  3.00141277e-01 
-4.49672000e-04  3.00277952e-01 
-4.49664000e-04  3.00415005e-01 
-4.49656000e-04  3.00552438e-01 
-4.49648000e-04  3.00690254e-01 
-4.49640000e-04  3.00828456e-01 
-4.49632000e-04  3.00967045e-01 
-4.49624000e-04  3.01106025e-01 
-4.49616000e-04  3.01245398e-01 
-4.49608000e-04  3.01385168e-01 
-4.49600000e-04  3.01525336e-01 
-4.49592000e-04  3.01665905e-01 
-4.49584000e-04  3.01806878e-01 
-4.49576000e-04  3.01948259e-01 
-4.49568000e-04  3.02090049e-01 
-4.49560000e-04  3.02232253e-01 
-4.49552000e-04  3.02374871e-01 
-4.49544000e-04  3.02517909e-01 
-4.49536000e-04  3.02661368e-01 
-4.49528000e-04  3.02805251e-01 
-4.49520000e-04  3.02949562e-01 
-4.49512000e-04  3.03094303e-01 
-4.49504000e-04  3.03239479e-01 
-4.49496000e-04  3.03385092e-01 
-4.49488000e-04  3.03531144e-01 
-4.49480000e-04  3.03677640e-01 
-4.49472000e-04  3.03824582e-01 
-4.49464000e-04  3.03971974e-01 
-4.49456000e-04  3.04119819e-01 
-4.49448000e-04  3.04268120e-01 
-4.49440000e-04  3.04416881e-01 
-4.49432000e-04  3.04566106e-01 
-4.49424000e-04  3.04715796e-01 
-4.49416000e-04  3.04865957e-01 
-4.49408000e-04  3.05016592e-01 
-4.49400000e-04  3.05167704e-01 
-4.49392000e-04  3.05319297e-01 
-4.49384000e-04  3.05471374e-01 
-4.49376000e-04  3.05623939e-01 
-4.49368000e-04  3.05776997e-01 
-4.49360000e-04  3.05930550e-01 
-4.49352000e-04  3.06084603e-01 
-4.49344000e-04  3.06239160e-01 
-4.49336000e-04  3.06394223e-01 
-4.49328000e-04  3.06549799e-01 
-4.49320000e-04  3.06705889e-01 
-4.49312000e-04  3.06862499e-01 
-4.49304000e-04  3.07019633e-01 
-4.49296000e-04  3.07177295e-01 
-4.49288000e-04  3.07335488e-01 
-4.49280000e-04  3.07494218e-01 
-4.49272000e-04  3.07653488e-01 
-4.49264000e-04  3.07813304e-01 
-4.49256000e-04  3.07973668e-01 
-4.49248000e-04  3.08134587e-01 
-4.49240000e-04  3.08296064e-01 
-4.49232000e-04  3.08458104e-01 
-4.49224000e-04  3.08620712e-01 
-4.49216000e-04  3.08783892e-01 
-4.49208000e-04  3.08947649e-01 
-4.49200000e-04  3.09111988e-01 
-4.49192000e-04  3.09276915e-01 
-4.49184000e-04  3.09442433e-01 
-4.49176000e-04  3.09608548e-01 
-4.49168000e-04  3.09775265e-01 
-4.49160000e-04  3.09942589e-01 
-4.49152000e-04  3.10110525e-01 
-4.49144000e-04  3.10279079e-01 
-4.49136000e-04  3.10448256e-01 
-4.49128000e-04  3.10618061e-01 
-4.49120000e-04  3.10788500e-01 
-4.49112000e-04  3.10959579e-01 
-4.49104000e-04  3.11131303e-01 
-4.49096000e-04  3.11303678e-01 
-4.49088000e-04  3.11476709e-01 
-4.49080000e-04  3.11650403e-01 
-4.49072000e-04  3.11824765e-01 
-4.49064000e-04  3.11999802e-01 
-4.49056000e-04  3.12175519e-01 
-4.49048000e-04  3.12351924e-01 
-4.49040000e-04  3.12529021e-01 
-4.49032000e-04  3.12706818e-01 
-4.49024000e-04  3.12885321e-01 
-4.49016000e-04  3.13064536e-01 
-4.49008000e-04  3.13244471e-01 
-4.49000000e-04  3.13425132e-01 
-4.48992000e-04  3.13606525e-01 
-4.48984000e-04  3.13788658e-01 
-4.48976000e-04  3.13971538e-01 
-4.48968000e-04  3.14155172e-01 
-4.48960000e-04  3.14339567e-01 
-4.48952000e-04  3.14524730e-01 
-4.48944000e-04  3.14710669e-01 
-4.48936000e-04  3.14897392e-01 
-4.48928000e-04  3.15084906e-01 
-4.48920000e-04  3.15273219e-01 
-4.48912000e-04  3.15462339e-01 
-4.48904000e-04  3.15652274e-01 
-4.48896000e-04  3.15843032e-01 
-4.48888000e-04  3.16034621e-01 
-4.48880000e-04  3.16227050e-01 
-4.48872000e-04  3.16420327e-01 
-4.48864000e-04  3.16614461e-01 
-4.48856000e-04  3.16809460e-01 
-4.48848000e-04  3.17005335e-01 
-4.48840000e-04  3.17202093e-01 
-4.48832000e-04  3.17399743e-01 
-4.48824000e-04  3.17598296e-01 
-4.48816000e-04  3.17797761e-01 
-4.48808000e-04  3.17998147e-01 
-4.48800000e-04  3.18199464e-01 
-4.48792000e-04  3.18401723e-01 
-4.48784000e-04  3.18604932e-01 
-4.48776000e-04  3.18809103e-01 
-4.48768000e-04  3.19014247e-01 
-4.48760000e-04  3.19220372e-01 
-4.48752000e-04  3.19427492e-01 
-4.48744000e-04  3.19635615e-01 
-4.48736000e-04  3.19844754e-01 
-4.48728000e-04  3.20054920e-01 
-4.48720000e-04  3.20266125e-01 
-4.48712000e-04  3.20478379e-01 
-4.48704000e-04  3.20691696e-01 
-4.48696000e-04  3.20906087e-01 
-4.48688000e-04  3.21121565e-01 
-4.48680000e-04  3.21338142e-01 
-4.48672000e-04  3.21555830e-01 
-4.48664000e-04  3.21774644e-01 
-4.48656000e-04  3.21994596e-01 
-4.48648000e-04  3.22215700e-01 
-4.48640000e-04  3.22437969e-01 
-4.48632000e-04  3.22661417e-01 
-4.48624000e-04  3.22886059e-01 
-4.48616000e-04  3.23111909e-01 
-4.48608000e-04  3.23338982e-01 
-4.48600000e-04  3.23567293e-01 
