 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  1.57212548e-05  2.17709474e-02 
 1.05776756e+00  1.52859447e-05  2.11681236e-02 
 1.11887221e+00  1.48626884e-05  2.05819919e-02 
 1.18350673e+00  1.44511521e-05  2.00120901e-02 
 1.25187503e+00  1.40510114e-05  1.94579688e-02 
 1.32419279e+00  1.36619507e-05  1.89191911e-02 
 1.40068818e+00  1.32836632e-05  1.83953320e-02 
 1.48160252e+00  1.29158506e-05  1.78859784e-02 
 1.56719108e+00  1.25582228e-05  1.73907287e-02 
 1.65772389e+00  1.22104979e-05  1.69091924e-02 
 1.75348655e+00  1.18724017e-05  1.64409896e-02 
 1.85478119e+00  1.15436675e-05  1.59857512e-02 
 1.96192737e+00  1.12240361e-05  1.55431182e-02 
 2.07526313e+00  1.09132555e-05  1.51127415e-02 
 2.19514602e+00  1.06110806e-05  1.46942816e-02 
 2.32195425e+00  1.03172732e-05  1.42874087e-02 
 2.45608788e+00  1.00316015e-05  1.38918017e-02 
 2.59797009e+00  9.75384020e-06  1.35071488e-02 
 2.74804848e+00  9.48377040e-06  1.31331465e-02 
 2.90679654e+00  9.22117907e-06  1.27694999e-02 
 3.07471508e+00  8.96585916e-06  1.24159223e-02 
 3.25233387e+00  8.71760932e-06  1.20721346e-02 
 3.44021326e+00  8.47623379e-06  1.17378658e-02 
 3.63894599e+00  8.24154225e-06  1.14128522e-02 
 3.84915902e+00  8.01334962e-06  1.10968376e-02 
 4.07151555e+00  7.79147596e-06  1.07895725e-02 
 4.30671707e+00  7.57574632e-06  1.04908147e-02 
 4.55550561e+00  7.36599056e-06  1.02003284e-02 
 4.81866605e+00  7.16204330e-06  9.91788453e-03 
 5.09702863e+00  6.96374371e-06  9.64326027e-03 
 5.39147154e+00  6.77093541e-06  9.37623894e-03 
 5.70292370e+00  6.58346637e-06  9.11660987e-03 
 6.03236769e+00  6.40118876e-06  8.86416819e-03 
 6.38084285e+00  6.22395884e-06  8.61871471e-03 
 6.74944857e+00  6.05163686e-06  8.38005572e-03 
 7.13934775e+00  5.88408693e-06  8.14800287e-03 
 7.55177045e+00  5.72117693e-06  7.92237300e-03 
 7.98801781e+00  5.56277839e-06  7.70298798e-03 
 8.44946611e+00  5.40876641e-06  7.48967462e-03 
 8.93757115e+00  5.25901954e-06  7.28226448e-03 
 9.45387283e+00  5.11341970e-06  7.08059376e-03 
 1.00000000e+01  4.97185208e-06  6.88450317e-03 
 1.05776756e+01  4.83420504e-06  6.69383778e-03 
 1.11887221e+01  4.70037003e-06  6.50844692e-03 
 1.18350673e+01  4.57024153e-06  6.32818406e-03 
 1.25187503e+01  4.44371691e-06  6.15290669e-03 
 1.32419279e+01  4.32069642e-06  5.98247616e-03 
 1.40068818e+01  4.20108303e-06  5.81675766e-03 
 1.48160252e+01  4.08478242e-06  5.65562001e-03 
 1.56719108e+01  3.97170290e-06  5.49893563e-03 
 1.65772389e+01  3.86175528e-06  5.34658039e-03 
 1.75348655e+01  3.75485287e-06  5.19843354e-03 
 1.85478119e+01  3.65091137e-06  5.05437756e-03 
 1.96192737e+01  3.54984881e-06  4.91429815e-03 
 2.07526313e+01  3.45158551e-06  4.77808403e-03 
 2.19514602e+01  3.35604397e-06  4.64562693e-03 
 2.32195425e+01  3.26314886e-06  4.51682146e-03 
 2.45608788e+01  3.17282692e-06  4.39156503e-03 
 2.59797009e+01  3.08500693e-06  4.26975774e-03 
 2.74804848e+01  2.99961964e-06  4.15130234e-03 
 2.90679654e+01  2.91659772e-06  4.03610411e-03 
 3.07471508e+01  2.83587569e-06  3.92407078e-03 
 3.25233387e+01  2.75738991e-06  3.81511245e-03 
 3.44021326e+01  2.68107848e-06  3.70914153e-03 
 3.63894599e+01  2.60688123e-06  3.60607261e-03 
 3.84915902e+01  2.53473965e-06  3.50582245e-03 
 4.07151555e+01  2.46459686e-06  3.40830983e-03 
 4.30671707e+01  2.39639753e-06  3.31345553e-03 
 4.55550561e+01  2.33008789e-06  3.22118221e-03 
 4.81866605e+01  2.26561566e-06  3.13141438e-03 
 5.09702863e+01  2.20292999e-06  3.04407826e-03 
 5.39147154e+01  2.14198145e-06  2.95910177e-03 
 5.70292370e+01  2.08272198e-06  2.87641442e-03 
 6.03236769e+01  2.02510485e-06  2.79594723e-03 
 6.38084285e+01  1.96908463e-06  2.71763267e-03 
 6.74944857e+01  1.91461713e-06  2.64140458e-03 
 7.13934775e+01  1.86165942e-06  2.56719811e-03 
 7.55177045e+01  1.81016973e-06  2.49494961e-03 
 7.98801781e+01  1.76010745e-06  2.42459659e-03 
 8.44946611e+01  1.71143311e-06  2.35607766e-03 
 8.93757115e+01  1.66410833e-06  2.28933241e-03 
 9.45387283e+01  1.61809579e-06  2.22430137e-03 
 1.00000000e+02  1.57335921e-06  2.16092595e-03 
 1.05776756e+02  1.52986330e-06  2.09914838e-03 
 1.11887221e+02  1.48757377e-06  2.03891163e-03 
 1.18350673e+02  1.44645728e-06  1.98015935e-03 
 1.25187503e+02  1.40648139e-06  1.92283585e-03 
 1.32419279e+02  1.36761458e-06  1.86688605e-03 
 1.40068818e+02  1.32982621e-06  1.81225545e-03 
 1.48160252e+02  1.29308648e-06  1.75889009e-03 
 1.56719108e+02  1.25736641e-06  1.70673659e-03 
 1.65772389e+02  1.22263783e-06  1.65574214e-03 
 1.75348655e+02  1.18887337e-06  1.60585453e-03 
 1.85478119e+02  1.15604640e-06  1.55702222e-03 
 1.96192737e+02  1.12413102e-06  1.50919444e-03 
 2.07526313e+02  1.09310207e-06  1.46232133e-03 
 2.19514602e+02  1.06293509e-06  1.41635404e-03 
 2.32195425e+02  1.03360628e-06  1.37124499e-03 
 2.45608788e+02  1.00509251e-06  1.32694813e-03 
 2.59797009e+02  9.77371305e-07  1.28341918e-03 
 2.74804848e+02  9.50420797e-07  1.24061602e-03 
 2.90679654e+02  9.24219734e-07  1.19849909e-03 
 3.07471508e+02  8.98747454e-07  1.15703183e-03 
 3.25233387e+02  8.73983869e-07  1.11618114e-03 
 3.44021326e+02  8.49909451e-07  1.07591797e-03 
 3.63894599e+02  8.26505214e-07  1.03621780e-03 
 3.84915902e+02  8.03752701e-07  9.97061244e-04 
 4.07151555e+02  7.81633967e-07  9.58434518e-04 
 4.30671707e+02  7.60131570e-07  9.20329973e-04 
 4.55550561e+02  7.39228552e-07  8.82746477e-04 
 4.81866605e+02  7.18908426e-07  8.45689710e-04 
 5.09702863e+02  6.99155166e-07  8.09172311e-04 
 5.39147154e+02  6.79953194e-07  7.73213854e-04 
 5.70292370e+02  6.61287364e-07  7.37840608e-04 
 6.03236769e+02  6.43142953e-07  7.03085087e-04 
 6.38084285e+02  6.25505651e-07  6.68985362e-04 
 6.74944857e+02  6.08361545e-07  6.35584147e-04 
 7.13934775e+02  5.91697112e-07  6.02927692e-04 
 7.55177045e+02  5.75499207e-07  5.71064494e-04 
 7.98801781e+02  5.59755051e-07  5.40043903e-04 
