 v-sweep         Vout           
 7.20000000e-05  6.46015892e-01 
 7.20040000e-05  6.46879322e-01 
 7.20080000e-05  6.47449527e-01 
 7.20120000e-05  6.48019853e-01 
 7.20160000e-05  6.48590251e-01 
 7.20200000e-05  6.49160720e-01 
 7.20240000e-05  6.49731260e-01 
 7.20280000e-05  6.50301869e-01 
 7.20320000e-05  6.50872547e-01 
 7.20360000e-05  6.51443292e-01 
 7.20400000e-05  6.52014106e-01 
 7.20440000e-05  6.52584985e-01 
 7.20480000e-05  6.53155931e-01 
 7.20520000e-05  6.53726942e-01 
 7.20560000e-05  6.54298017e-01 
 7.20600000e-05  6.54869156e-01 
 7.20640000e-05  6.55440357e-01 
 7.20680000e-05  6.56011622e-01 
 7.20720000e-05  6.56582948e-01 
 7.20760000e-05  6.57154335e-01 
 7.20800000e-05  6.57725782e-01 
 7.20840000e-05  6.58297290e-01 
 7.20880000e-05  6.58868856e-01 
 7.20920000e-05  6.59440482e-01 
 7.20960000e-05  6.60012165e-01 
 7.21000000e-05  6.60583907e-01 
 7.21040000e-05  6.61155705e-01 
 7.21080000e-05  6.61727559e-01 
 7.21120000e-05  6.62299469e-01 
 7.21160000e-05  6.62871435e-01 
 7.21200000e-05  6.63443455e-01 
 7.21240000e-05  6.64015530e-01 
 7.21280000e-05  6.64587658e-01 
 7.21320000e-05  6.65159840e-01 
 7.21360000e-05  6.65732075e-01 
 7.21400000e-05  6.66304361e-01 
 7.21440000e-05  6.66876700e-01 
 7.21480000e-05  6.67449089e-01 
 7.21520000e-05  6.68021530e-01 
 7.21560000e-05  6.68594020e-01 
 7.21600000e-05  6.69166561e-01 
 7.21640000e-05  6.69739150e-01 
 7.21680000e-05  6.70311789e-01 
 7.21720000e-05  6.70884477e-01 
 7.21760000e-05  6.71457212e-01 
 7.21800000e-05  6.72029994e-01 
 7.21840000e-05  6.72602824e-01 
 7.21880000e-05  6.73175701e-01 
 7.21920000e-05  6.73748623e-01 
 7.21960000e-05  6.74321592e-01 
 7.22000000e-05  6.74894606e-01 
 7.22040000e-05  6.75467664e-01 
 7.22080000e-05  6.76040768e-01 
 7.22120000e-05  6.76613915e-01 
 7.22160000e-05  6.77187106e-01 
 7.22200000e-05  6.77760340e-01 
 7.22240000e-05  6.78333617e-01 
 7.22280000e-05  6.78906937e-01 
 7.22320000e-05  6.79480298e-01 
 7.22360000e-05  6.80053702e-01 
 7.22400000e-05  6.80627146e-01 
 7.22440000e-05  6.81200631e-01 
 7.22480000e-05  6.81774157e-01 
 7.22520000e-05  6.82347723e-01 
 7.22560000e-05  6.82921329e-01 
 7.22600000e-05  6.83494973e-01 
 7.22640000e-05  6.84068657e-01 
 7.22680000e-05  6.84642379e-01 
 7.22720000e-05  6.85216139e-01 
 7.22760000e-05  6.85789938e-01 
 7.22800000e-05  6.86363773e-01 
 7.22840000e-05  6.86937646e-01 
 7.22880000e-05  6.87511555e-01 
 7.22920000e-05  6.88085500e-01 
 7.22960000e-05  6.88659482e-01 
 7.23000000e-05  6.89233498e-01 
 7.23040000e-05  6.89807551e-01 
 7.23080000e-05  6.90381637e-01 
 7.23120000e-05  6.90955759e-01 
 7.23160000e-05  6.91529914e-01 
 7.23200000e-05  6.92104103e-01 
 7.23240000e-05  6.92678326e-01 
 7.23280000e-05  6.93252581e-01 
 7.23320000e-05  6.93826870e-01 
 7.23360000e-05  6.94401190e-01 
 7.23400000e-05  6.94975543e-01 
 7.23440000e-05  6.95549927e-01 
 7.23480000e-05  6.96124343e-01 
 7.23520000e-05  6.96698789e-01 
 7.23560000e-05  6.97273266e-01 
 7.23600000e-05  6.97847773e-01 
 7.23640000e-05  6.98422311e-01 
 7.23680000e-05  6.98996877e-01 
 7.23720000e-05  6.99571473e-01 
 7.23760000e-05  7.00146098e-01 
 7.23800000e-05  7.00720752e-01 
 7.23840000e-05  7.01295433e-01 
 7.23880000e-05  7.01870143e-01 
 7.23920000e-05  7.02444880e-01 
 7.23960000e-05  7.03019644e-01 
 7.24000000e-05  7.03594436e-01 
 7.24040000e-05  7.04169253e-01 
 7.24080000e-05  7.04744097e-01 
 7.24120000e-05  7.05318967e-01 
 7.24160000e-05  7.05893863e-01 
 7.24200000e-05  7.06468784e-01 
 7.24240000e-05  7.07043729e-01 
 7.24280000e-05  7.07618700e-01 
 7.24320000e-05  7.08193694e-01 
 7.24360000e-05  7.08768713e-01 
 7.24400000e-05  7.09343755e-01 
 7.24440000e-05  7.09918821e-01 
 7.24480000e-05  7.10493909e-01 
 7.24520000e-05  7.11069021e-01 
 7.24560000e-05  7.11644155e-01 
 7.24600000e-05  7.12219310e-01 
 7.24640000e-05  7.12794488e-01 
 7.24680000e-05  7.13369687e-01 
 7.24720000e-05  7.13944907e-01 
 7.24760000e-05  7.14520148e-01 
 7.24800000e-05  7.15095409e-01 
 7.24840000e-05  7.15670691e-01 
 7.24880000e-05  7.16245993e-01 
 7.24920000e-05  7.16821314e-01 
 7.24960000e-05  7.17396654e-01 
 7.25000000e-05  7.17972013e-01 
 7.25040000e-05  7.18547391e-01 
 7.25080000e-05  7.19122788e-01 
 7.25120000e-05  7.19698202e-01 
 7.25160000e-05  7.20273634e-01 
 7.25200000e-05  7.20849084e-01 
 7.25240000e-05  7.21424551e-01 
 7.25280000e-05  7.22000034e-01 
 7.25320000e-05  7.22575534e-01 
 7.25360000e-05  7.23151051e-01 
 7.25400000e-05  7.23726583e-01 
 7.25440000e-05  7.24302131e-01 
 7.25480000e-05  7.24877695e-01 
 7.25520000e-05  7.25453273e-01 
 7.25560000e-05  7.26028866e-01 
