 v-sweep         Vout           
 6.00000000e-05  3.77849114e-01 
 6.00250000e-05  3.77935595e-01 
 6.00500000e-05  3.78009123e-01 
 6.00750000e-05  3.78082784e-01 
 6.01000000e-05  3.78156610e-01 
 6.01250000e-05  3.78230604e-01 
 6.01500000e-05  3.78304765e-01 
 6.01750000e-05  3.78379094e-01 
 6.02000000e-05  3.78453593e-01 
 6.02250000e-05  3.78528262e-01 
 6.02500000e-05  3.78603102e-01 
 6.02750000e-05  3.78678113e-01 
 6.03000000e-05  3.78753296e-01 
 6.03250000e-05  3.78828653e-01 
 6.03500000e-05  3.78904184e-01 
 6.03750000e-05  3.78979889e-01 
 6.04000000e-05  3.79055771e-01 
 6.04250000e-05  3.79131828e-01 
 6.04500000e-05  3.79208063e-01 
 6.04750000e-05  3.79284476e-01 
 6.05000000e-05  3.79361068e-01 
 6.05250000e-05  3.79437840e-01 
 6.05500000e-05  3.79514792e-01 
 6.05750000e-05  3.79591926e-01 
 6.06000000e-05  3.79669242e-01 
 6.06250000e-05  3.79746741e-01 
 6.06500000e-05  3.79824425e-01 
 6.06750000e-05  3.79902293e-01 
 6.07000000e-05  3.79980348e-01 
 6.07250000e-05  3.80058589e-01 
 6.07500000e-05  3.80137018e-01 
 6.07750000e-05  3.80215635e-01 
 6.08000000e-05  3.80294442e-01 
 6.08250000e-05  3.80373440e-01 
 6.08500000e-05  3.80452629e-01 
 6.08750000e-05  3.80532010e-01 
 6.09000000e-05  3.80611584e-01 
 6.09250000e-05  3.80691353e-01 
 6.09500000e-05  3.80771317e-01 
 6.09750000e-05  3.80851477e-01 
 6.10000000e-05  3.80931834e-01 
 6.10250000e-05  3.81012389e-01 
 6.10500000e-05  3.81093143e-01 
 6.10750000e-05  3.81174098e-01 
 6.11000000e-05  3.81255253e-01 
 6.11250000e-05  3.81336611e-01 
 6.11500000e-05  3.81418172e-01 
 6.11750000e-05  3.81499937e-01 
 6.12000000e-05  3.81581907e-01 
 6.12250000e-05  3.81664083e-01 
 6.12500000e-05  3.81746467e-01 
 6.12750000e-05  3.81829059e-01 
 6.13000000e-05  3.81911860e-01 
 6.13250000e-05  3.81994872e-01 
 6.13500000e-05  3.82078095e-01 
 6.13750000e-05  3.82161531e-01 
 6.14000000e-05  3.82245181e-01 
 6.14250000e-05  3.82329046e-01 
 6.14500000e-05  3.82413127e-01 
 6.14750000e-05  3.82497425e-01 
 6.15000000e-05  3.82581941e-01 
 6.15250000e-05  3.82666677e-01 
 6.15500000e-05  3.82751633e-01 
 6.15750000e-05  3.82836811e-01 
 6.16000000e-05  3.82922212e-01 
 6.16250000e-05  3.83007837e-01 
 6.16500000e-05  3.83093687e-01 
 6.16750000e-05  3.83179764e-01 
 6.17000000e-05  3.83266069e-01 
 6.17250000e-05  3.83352602e-01 
 6.17500000e-05  3.83439366e-01 
 6.17750000e-05  3.83526361e-01 
 6.18000000e-05  3.83613589e-01 
 6.18250000e-05  3.83701051e-01 
 6.18500000e-05  3.83788748e-01 
 6.18750000e-05  3.83876682e-01 
 6.19000000e-05  3.83964853e-01 
 6.19250000e-05  3.84053263e-01 
 6.19500000e-05  3.84141914e-01 
 6.19750000e-05  3.84230807e-01 
 6.20000000e-05  3.84319943e-01 
 6.20250000e-05  3.84409323e-01 
 6.20500000e-05  3.84498949e-01 
 6.20750000e-05  3.84588822e-01 
 6.21000000e-05  3.84678944e-01 
 6.21250000e-05  3.84769316e-01 
 6.21500000e-05  3.84859940e-01 
 6.21750000e-05  3.84950816e-01 
 6.22000000e-05  3.85041946e-01 
 6.22250000e-05  3.85133332e-01 
 6.22500000e-05  3.85224975e-01 
 6.22750000e-05  3.85316877e-01 
 6.23000000e-05  3.85409039e-01 
 6.23250000e-05  3.85501463e-01 
 6.23500000e-05  3.85594150e-01 
 6.23750000e-05  3.85687101e-01 
 6.24000000e-05  3.85780319e-01 
 6.24250000e-05  3.85873805e-01 
 6.24500000e-05  3.85967560e-01 
 6.24750000e-05  3.86061585e-01 
 6.25000000e-05  3.86155884e-01 
 6.25250000e-05  3.86250456e-01 
 6.25500000e-05  3.86345304e-01 
 6.25750000e-05  3.86440430e-01 
 6.26000000e-05  3.86535835e-01 
 6.26250000e-05  3.86631520e-01 
 6.26500000e-05  3.86727488e-01 
 6.26750000e-05  3.86823739e-01 
 6.27000000e-05  3.86920277e-01 
 6.27250000e-05  3.87017102e-01 
 6.27500000e-05  3.87114217e-01 
 6.27750000e-05  3.87211622e-01 
 6.28000000e-05  3.87309321e-01 
 6.28250000e-05  3.87407314e-01 
 6.28500000e-05  3.87505604e-01 
 6.28750000e-05  3.87604191e-01 
 6.29000000e-05  3.87703079e-01 
 6.29250000e-05  3.87802269e-01 
 6.29500000e-05  3.87901763e-01 
 6.29750000e-05  3.88001563e-01 
 6.30000000e-05  3.88101670e-01 
 6.30250000e-05  3.88202087e-01 
 6.30500000e-05  3.88302816e-01 
 6.30750000e-05  3.88403858e-01 
 6.31000000e-05  3.88505216e-01 
 6.31250000e-05  3.88606891e-01 
 6.31500000e-05  3.88708886e-01 
 6.31750000e-05  3.88811202e-01 
 6.32000000e-05  3.88913843e-01 
 6.32250000e-05  3.89016809e-01 
 6.32500000e-05  3.89120103e-01 
 6.32750000e-05  3.89223727e-01 
