 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  3.84101411e-05  5.41778429e+00 
 1.05776756e+00  3.73465793e-05  5.26238541e+00 
 1.11887221e+00  3.63124674e-05  5.11083538e+00 
 1.18350673e+00  3.53069899e-05  4.96299172e+00 
 1.25187503e+00  3.43293539e-05  4.81871354e+00 
 1.32419279e+00  3.33787885e-05  4.67786148e+00 
 1.40068818e+00  3.24545441e-05  4.54029762e+00 
 1.48160252e+00  3.15558920e-05  4.40588550e+00 
 1.56719108e+00  3.06821234e-05  4.27449012e+00 
 1.65772389e+00  2.98325493e-05  4.14597796e+00 
 1.75348655e+00  2.90064999e-05  4.02021721e+00 
 1.85478119e+00  2.82033237e-05  3.89707784e+00 
 1.96192737e+00  2.74223874e-05  3.77643199e+00 
 2.07526313e+00  2.66630751e-05  3.65815425e+00 
 2.19514602e+00  2.59247882e-05  3.54212216e+00 
 2.32195425e+00  2.52069444e-05  3.42821679e+00 
 2.45608788e+00  2.45089777e-05  3.31632342e+00 
 2.59797009e+00  2.38303376e-05  3.20633240e+00 
 2.74804848e+00  2.31704891e-05  3.09814002e+00 
 2.90679654e+00  2.25289118e-05  2.99164969e+00 
 3.07471508e+00  2.19050999e-05  2.88677304e+00 
 3.25233387e+00  2.12985612e-05  2.78343126e+00 
 3.44021326e+00  2.07088177e-05  2.68155646e+00 
 3.63894599e+00  2.01354043e-05  2.58109305e+00 
 3.84915902e+00  1.95778687e-05  2.48199910e+00 
 4.07151555e+00  1.90357714e-05  2.38424765e+00 
 4.30671707e+00  1.85086848e-05  2.28782785e+00 
 4.55550561e+00  1.79961933e-05  2.19274582e+00 
 4.81866605e+00  1.74978928e-05  2.09902524e+00 
 5.09702863e+00  1.70133904e-05  2.00670750e+00 
 5.39147154e+00  1.65423040e-05  1.91585136e+00 
 5.70292370e+00  1.60842622e-05  1.82653210e+00 
 6.03236769e+00  1.56389036e-05  1.73884005e+00 
 6.38084285e+00  1.52058772e-05  1.65287854e+00 
 6.74944857e+00  1.47848415e-05  1.56876133e+00 
 7.13934775e+00  1.43754644e-05  1.48660955e+00 
 7.55177045e+00  1.39774232e-05  1.40654827e+00 
 7.98801781e+00  1.35904039e-05  1.32870282e+00 
 8.44946611e+00  1.32141015e-05  1.25319510e+00 
 8.93757115e+00  1.28482191e-05  1.18013992e+00 
 9.45387283e+00  1.24924682e-05  1.10964166e+00 
 1.00000000e+01  1.21465683e-05  1.04179134e+00 
 1.05776756e+01  1.18102467e-05  9.76664197e-01 
 1.11887221e+01  1.14832381e-05  9.14317889e-01 
 1.18350673e+01  1.11652847e-05  8.54791357e-01 
 1.25187503e+01  1.08561357e-05  7.98104343e-01 
 1.32419279e+01  1.05555474e-05  7.44257514e-01 
 1.40068818e+01  1.02632827e-05  6.93233151e-01 
 1.48160252e+01  9.97911118e-06  6.44996292e-01 
 1.56719108e+01  9.70280875e-06  5.99496244e-01 
 1.65772389e+01  9.43415752e-06  5.56668354e-01 
 1.75348655e+01  9.17294564e-06  5.16435936e-01 
 1.85478119e+01  8.91896715e-06  4.78712276e-01 
 1.96192737e+01  8.67202175e-06  4.43402619e-01 
 2.07526313e+01  8.43191472e-06  4.10406087e-01 
 2.19514602e+01  8.19845672e-06  3.79617477e-01 
 2.32195425e+01  7.97146366e-06  3.50928896e-01 
 2.45608788e+01  7.75075654e-06  3.24231231e-01 
 2.59797009e+01  7.53616132e-06  2.99415421e-01 
 2.74804848e+01  7.32750878e-06  2.76373550e-01 
 2.90679654e+01  7.12463439e-06  2.54999755e-01 
 3.07471508e+01  6.92737816e-06  2.35190964e-01 
 3.25233387e+01  6.73558456e-06  2.16847478e-01 
 3.44021326e+01  6.54910234e-06  1.99873411e-01 
 3.63894599e+01  6.36778445e-06  1.84177014e-01 
 3.84915902e+01  6.19148791e-06  1.69670880e-01 
 4.07151555e+01  6.02007370e-06  1.56272069e-01 
 4.30671707e+01  5.85340666e-06  1.43902153e-01 
 4.55550561e+01  5.69135534e-06  1.32487200e-01 
 4.81866605e+01  5.53379198e-06  1.21957705e-01 
 5.09702863e+01  5.38059232e-06  1.12248483e-01 
 5.39147154e+01  5.23163555e-06  1.03298538e-01 
 5.70292370e+01  5.08680422e-06  9.50508980e-02 
 6.03236769e+01  4.94598411e-06  8.74524432e-02 
 6.38084285e+01  4.80906419e-06  8.04537216e-02 
 6.74944857e+01  4.67593648e-06  7.40087577e-02 
 7.13934775e+01  4.54649600e-06  6.80748601e-02 
 7.55177045e+01  4.42064069e-06  6.26124302e-02 
 7.98801781e+01  4.29827130e-06  5.75847734e-02 
 8.44946611e+01  4.17929133e-06  5.29579154e-02 
 8.93757115e+01  4.06360697e-06  4.87004249e-02 
 9.45387283e+01  3.95112698e-06  4.47832431e-02 
 1.00000000e+02  3.84176268e-06  4.11795214e-02 
 1.05776756e+02  3.73542782e-06  3.78644666e-02 
 1.11887221e+02  3.63203855e-06  3.48151946e-02 
 1.18350673e+02  3.53151334e-06  3.20105932e-02 
 1.25187503e+02  3.43377292e-06  2.94311920e-02 
 1.32419279e+02  3.33874023e-06  2.70590411e-02 
 1.40068818e+02  3.24634032e-06  2.48775978e-02 
 1.48160252e+02  3.15650032e-06  2.28716199e-02 
 1.56719108e+02  3.06914940e-06  2.10270678e-02 
 1.65772389e+02  2.98421867e-06  1.93310117e-02 
 1.75348655e+02  2.90164117e-06  1.77715466e-02 
 1.85478119e+02  2.82135176e-06  1.63377131e-02 
 1.96192737e+02  2.74328715e-06  1.50194238e-02 
 2.07526313e+02  2.66738577e-06  1.38073951e-02 
 2.19514602e+02  2.59358777e-06  1.26930844e-02 
 2.32195425e+02  2.52183496e-06  1.16686317e-02 
 2.45608788e+02  2.45207075e-06  1.07268059e-02 
 2.59797009e+02  2.38424013e-06  9.86095522e-03 
 2.74804848e+02  2.31828962e-06  9.06496088e-03 
 2.90679654e+02  2.25416721e-06  8.33319513e-03 
 3.07471508e+02  2.19182232e-06  7.66048208e-03 
 3.25233387e+02  2.13120581e-06  7.04206168e-03 
 3.44021326e+02  2.07226987e-06  6.47355652e-03 
 3.63894599e+02  2.01496803e-06  5.95094133e-03 
 3.84915902e+02  1.95925510e-06  5.47051471e-03 
 4.07151555e+02  1.90508714e-06  5.02887327e-03 
 4.30671707e+02  1.85242145e-06  4.62288771e-03 
 4.55550561e+02  1.80121649e-06  4.24968080e-03 
 4.81866605e+02  1.75143188e-06  3.90660722e-03 
 5.09702863e+02  1.70302838e-06  3.59123485e-03 
 5.39147154e+02  1.65596779e-06  3.30132767e-03 
 5.70292370e+02  1.61021303e-06  3.03482999e-03 
 6.03236769e+02  1.56572800e-06  2.78985193e-03 
 6.38084285e+02  1.52247762e-06  2.56465604e-03 
 6.74944857e+02  1.48042780e-06  2.35764511e-03 
 7.13934775e+02  1.43954537e-06  2.16735076e-03 
 7.55177045e+02  1.39979809e-06  1.99242316e-03 
 7.98801781e+02  1.36115462e-06  1.83162141e-03 
 8.44946611e+02  1.32358448e-06  1.68380477e-03 
 8.93757115e+02  1.28705806e-06  1.54792461e-03 
 9.45387283e+02  1.25154653e-06  1.42301695e-03 
 1.00000000e+03  1.21702191e-06  1.30819564e-03 
 1.05776756e+03  1.18345696e-06  1.20264609e-03 
 1.11887221e+03  1.15082522e-06  1.10561947e-03 
 1.18350673e+03  1.11910095e-06  1.01642743e-03 
 1.25187503e+03  1.08825913e-06  9.34437221e-04 
 1.32419279e+03  1.05827544e-06  8.59067174e-04 
 1.40068818e+03  1.02912625e-06  7.89782608e-04 
 1.48160252e+03  1.00078855e-06  7.26092020e-04 
 1.56719108e+03  9.73239996e-07  6.67543607e-04 
 1.65772389e+03  9.46458871e-07  6.13722055e-04 
 1.75348655e+03  9.20424050e-07  5.64245594e-04 
 1.85478119e+03  8.95115001e-07  5.18763291e-04 
 1.96192737e+03  8.70511762e-07  4.76952557e-04 
 2.07526313e+03  8.46594929e-07  4.38516862e-04 
 2.19514602e+03  8.23345640e-07  4.03183625e-04 
 2.32195425e+03  8.00745557e-07  3.70702282e-04 
 2.45608788e+03  7.78776854e-07  3.40842510e-04 
 2.59797009e+03  7.57422204e-07  3.13392590e-04 
 2.74804848e+03  7.36664762e-07  2.88157903e-04 
 2.90679654e+03  7.16488154e-07  2.64959552e-04 
 3.07471508e+03  6.96876465e-07  2.43633089e-04 
 3.25233387e+03  6.77814223e-07  2.24027350e-04 
 3.44021326e+03  6.59286389e-07  2.06003382e-04 
 3.63894599e+03  6.41278347e-07  1.89433454e-04 
 3.84915902e+03  6.23775887e-07  1.74200154e-04 
 4.07151555e+03  6.06765199e-07  1.60195552e-04 
 4.30671707e+03  5.90232861e-07  1.47320438e-04 
 4.55550561e+03  5.74165824e-07  1.35483615e-04 
 4.81866605e+03  5.58551409e-07  1.24601250e-04 
 5.09702863e+03  5.43377290e-07  1.14596283e-04 
 5.39147154e+03  5.28631488e-07  1.05397879e-04 
 5.70292370e+03  5.14302361e-07  9.69409226e-05 
 6.03236769e+03  5.00378595e-07  8.91655588e-05 
 6.38084285e+03  4.86849193e-07  8.20167662e-05 
 6.74944857e+03  4.73703468e-07  7.54439678e-05 
 7.13934775e+03  4.60931034e-07  6.94006712e-05 
 7.55177045e+03  4.48521799e-07  6.38441389e-05 
 7.98801781e+03  4.36465953e-07  5.87350852e-05 
 8.44946611e+03  4.24753965e-07  5.40373969e-05 
 8.93757115e+03  4.13376573e-07  4.97178774e-05 
 9.45387283e+03  4.02324774e-07  4.57460110e-05 
 1.00000000e+04  3.91589822e-07  4.20937463e-05 
 1.05776756e+04  3.81163218e-07  3.87352971e-05 
 1.11887221e+04  3.71036702e-07  3.56469596e-05 
 1.18350673e+04  3.61202249e-07  3.28069439e-05 
 1.25187503e+04  3.51652060e-07  3.01952199e-05 
 1.32419279e+04  3.42378557e-07  2.77933744e-05 
 1.40068818e+04  3.33374375e-07  2.55844814e-05 
 1.48160252e+04  3.24632361e-07  2.35529812e-05 
 1.56719108e+04  3.16145560e-07  2.16845704e-05 
 1.65772389e+04  3.07907217e-07  1.99661003e-05 
 1.75348655e+04  2.99910764e-07  1.83854840e-05 
