 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  1.87264202e-05  2.55129142e+00 
 1.05776756e+00  1.82078964e-05  2.47847820e+00 
 1.11887221e+00  1.77037305e-05  2.40749705e+00 
 1.18350673e+00  1.72135249e-05  2.33828245e+00 
 1.25187503e+00  1.67368932e-05  2.27076967e+00 
 1.32419279e+00  1.62734594e-05  2.20489471e+00 
 1.40068818e+00  1.58228582e-05  2.14059431e+00 
 1.48160252e+00  1.53847342e-05  2.07780586e+00 
 1.56719108e+00  1.49587419e-05  2.01646739e+00 
 1.65772389e+00  1.45445454e-05  1.95651760e+00 
 1.75348655e+00  1.41418180e-05  1.89789585e+00 
 1.85478119e+00  1.37502423e-05  1.84054224e+00 
 1.96192737e+00  1.33695094e-05  1.78439764e+00 
 2.07526313e+00  1.29993191e-05  1.72940382e+00 
 2.19514602e+00  1.26393795e-05  1.67550363e+00 
 2.32195425e+00  1.22894067e-05  1.62264111e+00 
 2.45608788e+00  1.19491248e-05  1.57076183e+00 
 2.59797009e+00  1.16182655e-05  1.51981310e+00 
 2.74804848e+00  1.12965678e-05  1.46974436e+00 
 2.90679654e+00  1.09837781e-05  1.42050756e+00 
 3.07471508e+00  1.06796496e-05  1.37205767e+00 
 3.25233387e+00  1.03839427e-05  1.32435314e+00 
 3.44021326e+00  1.00964241e-05  1.27735650e+00 
 3.63894599e+00  9.81686711e-06  1.23103496e+00 
 3.84915902e+00  9.54505125e-06  1.18536103e+00 
 4.07151555e+00  9.28076218e-06  1.14031315e+00 
 4.30671707e+00  9.02379151e-06  1.09587629e+00 
 4.55550561e+00  8.77393660e-06  1.05204250e+00 
 4.81866605e+00  8.53100042e-06  1.00881137e+00 
 5.09702863e+00  8.29479141e-06  9.66190315e-01 
 5.39147154e+00  8.06512331e-06  9.24194773e-01 
 5.70292370e+00  7.84181500e-06  8.82848120e-01 
 6.03236769e+00  7.62469039e-06  8.42181390e-01 
 6.38084285e+00  7.41357828e-06  8.02232720e-01 
 6.74944857e+00  7.20831218e-06  7.63046539e-01 
 7.13934775e+00  7.00873024e-06  7.24672498e-01 
 7.55177045e+00  6.81467506e-06  6.87164169e-01 
 7.98801781e+00  6.62599364e-06  6.50577552e-01 
 8.44946611e+00  6.44253718e-06  6.14969461e-01 
 8.93757115e+00  6.26416102e-06  5.80395838e-01 
 9.45387283e+00  6.09072449e-06  5.46910090e-01 
 1.00000000e+01  5.92209084e-06  5.14561511e-01 
 1.05776756e+01  5.75812709e-06  4.83393872e-01 
 1.11887221e+01  5.59870394e-06  4.53444221e-01 
 1.18350673e+01  5.44369567e-06  4.24741963e-01 
 1.25187503e+01  5.29298007e-06  3.97308214e-01 
 1.32419279e+01  5.14643826e-06  3.71155467e-01 
 1.40068818e+01  5.00395472e-06  3.46287535e-01 
 1.48160252e+01  4.86541706e-06  3.22699766e-01 
 1.56719108e+01  4.73071606e-06  3.00379478e-01 
 1.65772389e+01  4.59974549e-06  2.79306580e-01 
 1.75348655e+01  4.47240207e-06  2.59454332e-01 
 1.85478119e+01  4.34858539e-06  2.40790189e-01 
 1.96192737e+01  4.22819781e-06  2.23276704e-01 
 2.07526313e+01  4.11114440e-06  2.06872424e-01 
 2.19514602e+01  3.99733285e-06  1.91532783e-01 
 2.32195425e+01  3.88667342e-06  1.77210930e-01 
 2.45608788e+01  3.77907885e-06  1.63858507e-01 
 2.59797009e+01  3.67446429e-06  1.51426341e-01 
 2.74804848e+01  3.57274725e-06  1.39865056e-01 
 2.90679654e+01  3.47384752e-06  1.29125604e-01 
 3.07471508e+01  3.37768711e-06  1.19159704e-01 
 3.25233387e+01  3.28419019e-06  1.09920208e-01 
 3.44021326e+01  3.19328304e-06  1.01361395e-01 
 3.63894599e+01  3.10489397e-06  9.34391932e-02 
 3.84915902e+01  3.01895328e-06  8.61113452e-02 
 4.07151555e+01  2.93539320e-06  7.93375252e-02 
 4.30671707e+01  2.85414784e-06  7.30794080e-02 
 4.55550561e+01  2.77515314e-06  6.73007033e-02 
 4.81866605e+01  2.69834679e-06  6.19671586e-02 
 5.09702863e+01  2.62366824e-06  5.70465383e-02 
 5.39147154e+01  2.55105860e-06  5.25085816e-02 
 5.70292370e+01  2.48046061e-06  4.83249467e-02 
 6.03236769e+01  2.41181860e-06  4.44691423e-02 
 6.38084285e+01  2.34507844e-06  4.09164514e-02 
 6.74944857e+01  2.28018750e-06  3.76438494e-02 
 7.13934775e+01  2.21709462e-06  3.46299189e-02 
 7.55177045e+01  2.15575003e-06  3.18547629e-02 
 7.98801781e+01  2.09610538e-06  2.92999178e-02 
 8.44946611e+01  2.03811362e-06  2.69482673e-02 
 8.93757115e+01  1.98172902e-06  2.47839589e-02 
 9.45387283e+01  1.92690712e-06  2.27923219e-02 
 1.00000000e+02  1.87360470e-06  2.09597895e-02 
 1.05776756e+02  1.82177972e-06  1.92738235e-02 
 1.11887221e+02  1.77139131e-06  1.77228431e-02 
 1.18350673e+02  1.72239973e-06  1.62961573e-02 
 1.25187503e+02  1.67476637e-06  1.49839010e-02 
 1.32419279e+02  1.62845364e-06  1.37769749e-02 
 1.40068818e+02  1.58342504e-06  1.26669892e-02 
 1.48160252e+02  1.53964506e-06  1.16462107e-02 
 1.56719108e+02  1.49707916e-06  1.07075136e-02 
 1.65772389e+02  1.45569380e-06  9.84433334e-03 
 1.75348655e+02  1.41545633e-06  9.05062397e-03 
 1.85478119e+02  1.37633501e-06  8.32081826e-03 
 1.96192737e+02  1.33829902e-06  7.64979075e-03 
 2.07526313e+02  1.30131833e-06  7.03282350e-03 
