 frequency       AmagdB          Aphdeg         
 1.00000000e+02  1.97911038e+01  1.79944171e+02 
 1.02305973e+02  1.97911036e+01  1.79942883e+02 
 1.04665121e+02  1.97911034e+01  1.79941566e+02 
 1.07078670e+02  1.97911032e+01  1.79940219e+02 
 1.09547876e+02  1.97911029e+01  1.79938840e+02 
 1.12074020e+02  1.97911027e+01  1.79937430e+02 
 1.14658417e+02  1.97911025e+01  1.79935987e+02 
 1.17302409e+02  1.97911022e+01  1.79934511e+02 
 1.20007371e+02  1.97911020e+01  1.79933001e+02 
 1.22774708e+02  1.97911017e+01  1.79931456e+02 
 1.25605860e+02  1.97911014e+01  1.79929875e+02 
 1.28502297e+02  1.97911011e+01  1.79928258e+02 
 1.31465525e+02  1.97911008e+01  1.79926604e+02 
 1.34497085e+02  1.97911005e+01  1.79924911e+02 
 1.37598551e+02  1.97911001e+01  1.79923180e+02 
 1.40771537e+02  1.97910998e+01  1.79921408e+02 
 1.44017690e+02  1.97910994e+01  1.79919596e+02 
 1.47338699e+02  1.97910990e+01  1.79917742e+02 
 1.50736290e+02  1.97910986e+01  1.79915845e+02 
 1.54212228e+02  1.97910982e+01  1.79913904e+02 
 1.57768320e+02  1.97910977e+01  1.79911919e+02 
 1.61406415e+02  1.97910972e+01  1.79909888e+02 
 1.65128404e+02  1.97910968e+01  1.79907810e+02 
 1.68936220e+02  1.97910962e+01  1.79905684e+02 
 1.72831844e+02  1.97910957e+01  1.79903509e+02 
 1.76817299e+02  1.97910951e+01  1.79901284e+02 
 1.80894658e+02  1.97910945e+01  1.79899008e+02 
 1.85066040e+02  1.97910939e+01  1.79896679e+02 
 1.89333613e+02  1.97910933e+01  1.79894296e+02 
 1.93699595e+02  1.97910926e+01  1.79891859e+02 
 1.98166255e+02  1.97910919e+01  1.79889365e+02 
 2.02735916e+02  1.97910911e+01  1.79886814e+02 
 2.07410951e+02  1.97910904e+01  1.79884204e+02 
 2.12193792e+02  1.97910896e+01  1.79881534e+02 
 2.17086923e+02  1.97910887e+01  1.79878802e+02 
 2.22092889e+02  1.97910878e+01  1.79876007e+02 
 2.27214291e+02  1.97910869e+01  1.79873148e+02 
 2.32453791e+02  1.97910859e+01  1.79870223e+02 
 2.37814113e+02  1.97910849e+01  1.79867230e+02 
 2.43298042e+02  1.97910838e+01  1.79864169e+02 
 2.48908429e+02  1.97910827e+01  1.79861036e+02 
 2.54648190e+02  1.97910815e+01  1.79857832e+02 
 2.60520309e+02  1.97910803e+01  1.79854554e+02 
 2.66527837e+02  1.97910790e+01  1.79851200e+02 
 2.72673897e+02  1.97910777e+01  1.79847768e+02 
 2.78961683e+02  1.97910763e+01  1.79844258e+02 
 2.85394464e+02  1.97910748e+01  1.79840667e+02 
 2.91975583e+02  1.97910732e+01  1.79836992e+02 
 2.98708461e+02  1.97910716e+01  1.79833234e+02 
 3.05596598e+02  1.97910699e+01  1.79829388e+02 
 3.12643573e+02  1.97910682e+01  1.79825454e+02 
 3.19853049e+02  1.97910663e+01  1.79821429e+02 
 3.27228774e+02  1.97910644e+01  1.79817311e+02 
 3.34774581e+02  1.97910624e+01  1.79813098e+02 
 3.42494392e+02  1.97910602e+01  1.79808788e+02 
 3.50392221e+02  1.97910580e+01  1.79804379e+02 
 3.58472171e+02  1.97910557e+01  1.79799868e+02 
 3.66738442e+02  1.97910533e+01  1.79795253e+02 
 3.75195331e+02  1.97910507e+01  1.79790532e+02 
 3.83847234e+02  1.97910481e+01  1.79785702e+02 
 3.92698648e+02  1.97910453e+01  1.79780760e+02 
 4.01754173e+02  1.97910424e+01  1.79775705e+02 
 4.11018515e+02  1.97910393e+01  1.79770532e+02 
 4.20496491e+02  1.97910361e+01  1.79765241e+02 
 4.30193027e+02  1.97910328e+01  1.79759828e+02 
 4.40113162e+02  1.97910293e+01  1.79754289e+02 
 4.50262052e+02  1.97910256e+01  1.79748623e+02 
 4.60644974e+02  1.97910218e+01  1.79742827e+02 
 4.71267322e+02  1.97910178e+01  1.79736897e+02 
 4.82134619e+02  1.97910136e+01  1.79730830e+02 
 4.93252513e+02  1.97910092e+01  1.79724623e+02 
 5.04626783e+02  1.97910046e+01  1.79718273e+02 
 5.16263340e+02  1.97909997e+01  1.79711776e+02 
 5.28168234e+02  1.97909947e+01  1.79705130e+02 
 5.40347650e+02  1.97909894e+01  1.79698330e+02 
 5.52807921e+02  1.97909839e+01  1.79691374e+02 
 5.65555523e+02  1.97909781e+01  1.79684257e+02 
 5.78597080e+02  1.97909721e+01  1.79676977e+02 
 5.91939372e+02  1.97909657e+01  1.79669528e+02 
 6.05589334e+02  1.97909591e+01  1.79661907e+02 
 6.19554061e+02  1.97909522e+01  1.79654111e+02 
 6.33840810e+02  1.97909449e+01  1.79646135e+02 
 6.48457008e+02  1.97909373e+01  1.79637976e+02 
 6.63410251e+02  1.97909294e+01  1.79629628e+02 
 6.78708313e+02  1.97909210e+01  1.79621087e+02 
 6.94359143e+02  1.97909123e+01  1.79612350e+02 
 7.10370877e+02  1.97909032e+01  1.79603411e+02 
 7.26751838e+02  1.97908937e+01  1.79594266e+02 
 7.43510539e+02  1.97908837e+01  1.79584910e+02 
 7.60655691e+02  1.97908732e+01  1.79575339e+02 
 7.78196206e+02  1.97908623e+01  1.79565547e+02 
 7.96141200e+02  1.97908508e+01  1.79555529e+02 
 8.14500001e+02  1.97908388e+01  1.79545280e+02 
 8.33282151e+02  1.97908263e+01  1.79534794e+02 
