 frequency       Hph1magdB       Hph2magdB      
 1.00000000e+03 -2.62600407e-02 -2.62600407e-02 
 1.00693863e+03 -2.66197168e-02 -2.66197168e-02 
 1.01392541e+03 -2.69843017e-02 -2.69843017e-02 
 1.02096066e+03 -2.73538608e-02 -2.73538608e-02 
 1.02804473e+03 -2.77284607e-02 -2.77284607e-02 
 1.03517796e+03 -2.81081686e-02 -2.81081686e-02 
 1.04236067e+03 -2.84930525e-02 -2.84930525e-02 
 1.04959323e+03 -2.88831816e-02 -2.88831816e-02 
 1.05687597e+03 -2.92786257e-02 -2.92786257e-02 
 1.06420924e+03 -2.96794554e-02 -2.96794554e-02 
 1.07159340e+03 -3.00857426e-02 -3.00857426e-02 
 1.07902879e+03 -3.04975596e-02 -3.04975596e-02 
 1.08651577e+03 -3.09149800e-02 -3.09149800e-02 
 1.09405471e+03 -3.13380781e-02 -3.13380781e-02 
 1.10164595e+03 -3.17669293e-02 -3.17669293e-02 
 1.10928986e+03 -3.22016099e-02 -3.22016099e-02 
 1.11698682e+03 -3.26421970e-02 -3.26421970e-02 
 1.12473718e+03 -3.30887689e-02 -3.30887689e-02 
 1.13254132e+03 -3.35414047e-02 -3.35414047e-02 
 1.14039960e+03 -3.40001846e-02 -3.40001846e-02 
 1.14831241e+03 -3.44651898e-02 -3.44651898e-02 
 1.15628013e+03 -3.49365023e-02 -3.49365023e-02 
 1.16430313e+03 -3.54142055e-02 -3.54142055e-02 
 1.17238180e+03 -3.58983835e-02 -3.58983835e-02 
 1.18051653e+03 -3.63891215e-02 -3.63891215e-02 
 1.18870770e+03 -3.68865059e-02 -3.68865059e-02 
 1.19695570e+03 -3.73906241e-02 -3.73906241e-02 
 1.20526094e+03 -3.79015644e-02 -3.79015644e-02 
 1.21362380e+03 -3.84194165e-02 -3.84194165e-02 
 1.22204469e+03 -3.89442709e-02 -3.89442709e-02 
 1.23052400e+03 -3.94762194e-02 -3.94762194e-02 
 1.23906216e+03 -4.00153548e-02 -4.00153548e-02 
 1.24765955e+03 -4.05617712e-02 -4.05617712e-02 
 1.25631660e+03 -4.11155636e-02 -4.11155636e-02 
 1.26503372e+03 -4.16768284e-02 -4.16768284e-02 
 1.27381132e+03 -4.22456630e-02 -4.22456630e-02 
 1.28264983e+03 -4.28221659e-02 -4.28221659e-02 
 1.29154967e+03 -4.34064371e-02 -4.34064371e-02 
 1.30051125e+03 -4.39985775e-02 -4.39985775e-02 
 1.30953502e+03 -4.45986894e-02 -4.45986894e-02 
 1.31862140e+03 -4.52068761e-02 -4.52068761e-02 
 1.32777083e+03 -4.58232423e-02 -4.58232423e-02 
 1.33698374e+03 -4.64478941e-02 -4.64478941e-02 
 1.34626058e+03 -4.70809385e-02 -4.70809385e-02 
 1.35560179e+03 -4.77224839e-02 -4.77224839e-02 
 1.36500781e+03 -4.83726402e-02 -4.83726402e-02 
 1.37447909e+03 -4.90315184e-02 -4.90315184e-02 
 1.38401610e+03 -4.96992306e-02 -4.96992306e-02 
 1.39361927e+03 -5.03758907e-02 -5.03758907e-02 
 1.40328908e+03 -5.10616135e-02 -5.10616135e-02 
 1.41302599e+03 -5.17565154e-02 -5.17565154e-02 
 1.42283046e+03 -5.24607140e-02 -5.24607140e-02 
 1.43270295e+03 -5.31743282e-02 -5.31743282e-02 
 1.44264395e+03 -5.38974786e-02 -5.38974786e-02 
 1.45265393e+03 -5.46302868e-02 -5.46302868e-02 
 1.46273336e+03 -5.53728760e-02 -5.53728760e-02 
 1.47288272e+03 -5.61253709e-02 -5.61253709e-02 
 1.48310251e+03 -5.68878973e-02 -5.68878973e-02 
 1.49339322e+03 -5.76605827e-02 -5.76605827e-02 
 1.50375532e+03 -5.84435560e-02 -5.84435560e-02 
 1.51418933e+03 -5.92369475e-02 -5.92369475e-02 
 1.52469573e+03 -6.00408889e-02 -6.00408889e-02 
 1.53527503e+03 -6.08555136e-02 -6.08555136e-02 
 1.54592774e+03 -6.16809561e-02 -6.16809561e-02 
 1.55665436e+03 -6.25173529e-02 -6.25173529e-02 
 1.56745541e+03 -6.33648416e-02 -6.33648416e-02 
 1.57833141e+03 -6.42235615e-02 -6.42235615e-02 
 1.58928287e+03 -6.50936533e-02 -6.50936533e-02 
 1.60031031e+03 -6.59752594e-02 -6.59752594e-02 
 1.61141428e+03 -6.68685237e-02 -6.68685237e-02 
 1.62259529e+03 -6.77735915e-02 -6.77735915e-02 
 1.63385388e+03 -6.86906100e-02 -6.86906100e-02 
 1.64519059e+03 -6.96197277e-02 -6.96197277e-02 
 1.65660596e+03 -7.05610947e-02 -7.05610947e-02 
 1.66810054e+03 -7.15148628e-02 -7.15148628e-02 
 1.67967487e+03 -7.24811854e-02 -7.24811854e-02 
 1.69132952e+03 -7.34602174e-02 -7.34602174e-02 
 1.70306503e+03 -7.44521156e-02 -7.44521156e-02 
 1.71488197e+03 -7.54570381e-02 -7.54570381e-02 
 1.72678090e+03 -7.64751448e-02 -7.64751448e-02 
 1.73876240e+03 -7.75065973e-02 -7.75065973e-02 
 1.75082703e+03 -7.85515588e-02 -7.85515588e-02 
 1.76297538e+03 -7.96101940e-02 -7.96101940e-02 
 1.77520801e+03 -8.06826697e-02 -8.06826697e-02 
 1.78752553e+03 -8.17691539e-02 -8.17691539e-02 
 1.79992851e+03 -8.28698165e-02 -8.28698165e-02 
 1.81241755e+03 -8.39848293e-02 -8.39848293e-02 
 1.82499324e+03 -8.51143654e-02 -8.51143654e-02 
 1.83765620e+03 -8.62585998e-02 -8.62585998e-02 
 1.85040702e+03 -8.74177093e-02 -8.74177093e-02 
 1.86324631e+03 -8.85918723e-02 -8.85918723e-02 
 1.87617469e+03 -8.97812689e-02 -8.97812689e-02 
 1.88919278e+03 -9.09860809e-02 -9.09860809e-02 
 1.90230119e+03 -9.22064921e-02 -9.22064921e-02 
 1.91550056e+03 -9.34426876e-02 -9.34426876e-02 
 1.92879151e+03 -9.46948545e-02 -9.46948545e-02 
 1.94217468e+03 -9.59631816e-02 -9.59631816e-02 
 1.95565072e+03 -9.72478595e-02 -9.72478595e-02 
 1.96922026e+03 -9.85490803e-02 -9.85490803e-02 
 1.98288395e+03 -9.98670382e-02 -9.98670382e-02 
 1.99664245e+03 -1.01201929e-01 -1.01201929e-01 
 2.01049642e+03 -1.02553949e-01 -1.02553949e-01 
 2.02444651e+03 -1.03923300e-01 -1.03923300e-01 
 2.03849340e+03 -1.05310180e-01 -1.05310180e-01 
 2.05263775e+03 -1.06714794e-01 -1.06714794e-01 
 2.06688025e+03 -1.08137345e-01 -1.08137345e-01 
 2.08122157e+03 -1.09578039e-01 -1.09578039e-01 
 2.09566240e+03 -1.11037085e-01 -1.11037085e-01 
 2.11020343e+03 -1.12514692e-01 -1.12514692e-01 
 2.12484535e+03 -1.14011071e-01 -1.14011071e-01 
 2.13958887e+03 -1.15526435e-01 -1.15526435e-01 
 2.15443469e+03 -1.17061000e-01 -1.17061000e-01 
 2.16938352e+03 -1.18614980e-01 -1.18614980e-01 
 2.18443607e+03 -1.20188595e-01 -1.20188595e-01 
 2.19959307e+03 -1.21782064e-01 -1.21782064e-01 
 2.21485523e+03 -1.23395608e-01 -1.23395608e-01 
 2.23022330e+03 -1.25029450e-01 -1.25029450e-01 
 2.24569800e+03 -1.26683816e-01 -1.26683816e-01 
 2.26128007e+03 -1.28358930e-01 -1.28358930e-01 
 2.27697026e+03 -1.30055022e-01 -1.30055022e-01 
 2.29276931e+03 -1.31772320e-01 -1.31772320e-01 
 2.30867799e+03 -1.33511056e-01 -1.33511056e-01 
 2.32469706e+03 -1.35271462e-01 -1.35271462e-01 
 2.34082728e+03 -1.37053771e-01 -1.37053771e-01 
 2.35706941e+03 -1.38858221e-01 -1.38858221e-01 
 2.37342425e+03 -1.40685047e-01 -1.40685047e-01 
 2.38989257e+03 -1.42534488e-01 -1.42534488e-01 
 2.40647515e+03 -1.44406785e-01 -1.44406785e-01 
 2.42317279e+03 -1.46302178e-01 -1.46302178e-01 
 2.43998630e+03 -1.48220911e-01 -1.48220911e-01 
 2.45691646e+03 -1.50163226e-01 -1.50163226e-01 
 2.47396410e+03 -1.52129371e-01 -1.52129371e-01 
 2.49113003e+03 -1.54119591e-01 -1.54119591e-01 
 2.50841506e+03 -1.56134134e-01 -1.56134134e-01 
 2.52582003e+03 -1.58173250e-01 -1.58173250e-01 
 2.54334576e+03 -1.60237188e-01 -1.60237188e-01 
 2.56099310e+03 -1.62326201e-01 -1.62326201e-01 
 2.57876289e+03 -1.64440541e-01 -1.64440541e-01 
 2.59665597e+03 -1.66580461e-01 -1.66580461e-01 
 2.61467321e+03 -1.68746217e-01 -1.68746217e-01 
 2.63281547e+03 -1.70938063e-01 -1.70938063e-01 
 2.65108360e+03 -1.73156256e-01 -1.73156256e-01 
